business_name,address,mall_center,city,state,zip,mall
FUN FACTORY,1201  BOSTON POST RD.,CONNECTICUT POST MALL,MILFORD,CT,06460-,True
AUTOMATED SERVICES,145  PEPES FARM RD.,,MILFORD,CT,06460-3671,False
FITZGERALD-COCLIN VENDING,290  BOSTON POST RD.,,MILFORD,CT,06460-4117,False
DE MONT VENDING SERVICES,2017  BRIDGEPORT AVE.,,MILFORD,CT,06460-4614,False
CENTURY AMUSEMENT & VENDING,22  LAFAYETTE ST.,,MILFORD,CT,06460-4710,False
MONROE ENTERPRISES,3  SURREY TRAIL,,SANDY HOOK,CT,06482-,False
MONTANO BROS. CIGARETTE & AMUSEMENT,1533  STATE ST.,,NEW HAVEN,CT,06511-2793,False
J R AMUSEMENT & CIGARETTE SERVICE,56  OSMOND ST.,,EAST HAVEN,CT,06512-,False
A & P AMUSEMENT,434  SILVER SANDS RD.,,EAST HAVEN,CT,06512-4128,False
ACME MUSIC,229  GRAND AVE.,,NEW HAVEN,CT,06513-3797,False
ARNOLD AMUSEMENT & CIGARETTE,234  CHAPEL ST.,,NEW HAVEN,CT,06513-4211,False
CASTLE VENDING MACHINE,55  CONNELLY PKWY.,,HAMDEN,CT,06514-,False
ACE AMUSEMENT & CIGARETTE,155  SPRING ST.,,NEW HAVEN,CT,06519-2119,False
CAPPY & SON,3295  FAIRFIELD AVE.,,BRIDGEPORT,CT,06605-3224,False
SPANKY'S ARCADE,436  NORTH AVE.,,BRIDGEPORT,CT,06606-,True
SEPKO AMUSEMENTS,961  STRATFORD AVE.,,BRIDGEPORT,CT,06607,False
ALADDIN AMUSEMENTS,520  SUCCESS AVE.,,BRIDGEPORT,CT,06610-2423,False
WATERBURY AMUSEMENT MACHINE,453  MAIN ST. W.,,WATERBURY,CT,06702-1122,False
NUTMEG AMUSEMENT,848  MAIN ST. N.,,WATERBURY,CT,06704-3514,False
DELL AMUSEMENT & VENDING,158  PIERPONT RD.,,WATERBURY,CT,06705-,False
J C VENDING,70  PHYLLIS AVE.,,WATERBURY,CT,06708-,False
EAST END AMUSEMENT,166  COOKE ST.,,WATERBURY,CT,06710-2325,False
HERITAGE VENDING,1413  WOODTICK RD.,,WOLCOTT,CT,06716-,False
